,access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter,fromCSV,segments,nnodes,bw(GiB/s),tasks_per_node,xfer_str
73,write,11041.6999,708543.1732,0.0001,131072,16,0.0059,1.1099,0.0556,1.1129,96,1,write_n-8_ppn-12_tx-16K.csv,1,8,10.78291005859375,12.0,16K
74,write,204213.7031,111658.3747,0.0016,131072,2048,0.0843,0.2201,0.1201,0.2407,384,1,write_n-8_ppn-48_tx-2M.csv,1,8,199.42744443359376,48.0,2M
75,write,11041.8128,707183.7204,0.0005,131072,16,0.0603,4.4482,0.3342,4.4514,384,1,write_n-8_ppn-48_tx-16K.csv,1,8,10.7830203125,48.0,16K
76,write,10624.5652,681290.8895,0.0014,131072,16,0.163,12.3128,1.7746,12.3367,1024,1,write_n-8_ppn-128_tx-16K.csv,1,8,10.375551953125,128.0,16K
77,write,134425.843,136797.8277,0.001,131072,1024,0.0398,0.1797,0.072,0.1828,192,3,write_n-8_ppn-24_tx-1M.csv,1,8,131.2752373046875,24.0,1M
78,write,10969.8371,703344.8847,0.001,131072,16,0.0991,8.9451,0.6163,8.9613,768,0,write_n-8_ppn-96_tx-16K.csv,1,8,10.71273154296875,96.0,16K
79,write,184439.3998,95813.0415,0.0034,131072,2048,0.2588,0.513,0.3262,0.533,768,3,write_n-8_ppn-96_tx-2M.csv,1,8,180.1166013671875,96.0,2M
80,write,10984.9492,706219.285,0.0003,131072,16,0.0502,2.2272,0.1912,2.2372,192,1,write_n-8_ppn-24_tx-16K.csv,1,8,10.727489453125,24.0,16K
81,write,99574.4857,102996.6633,0.0052,131072,1024,0.2569,1.2726,0.6806,1.3163,1024,3,write_n-8_ppn-128_tx-1M.csv,1,8,97.24070869140625,128.0,1M
82,write,102854.0676,106838.9859,0.0004,131072,1024,0.0058,0.0767,0.0221,0.0796,64,4,write_n-8_ppn-8_tx-1M.csv,1,8,100.443425390625,8.0,1M
83,write,7299.8224,468503.6878,0.0001,131072,16,0.0062,1.1191,0.0463,1.1222,64,1,write_n-8_ppn-8_tx-16K.csv,1,8,7.1287328125,8.0,16K
