access,IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter,nnodes,seg,bw(GiB/s)
write,11452.3948,0.022,131072.0,2048.0,0.0061,1.4306,0.0432,1.4338,8,2,1,32,22.3177845703125
write,11496.9537,0.0219,131072.0,2048.0,0.0058,1.4251,0.0371,1.4281,8,3,1,32,22.40719072265625
write,11416.0924,0.0221,131072.0,2048.0,0.0057,1.4352,0.0396,1.4381,8,4,1,32,22.25090166015625
write,9275.6304,0.1476,131072.0,8192.0,0.0116,3.9743,3.0084,3.9816,72,0,1,32,72.33331015625
write,9253.6971,0.0899,131072.0,8192.0,0.0077,3.9837,3.1113,3.9876,72,1,1,32,72.2238017578125
write,9645.5681,0.1695,131072.0,8192.0,0.0081,3.8219,2.887,3.826,72,2,1,32,75.27424150390625
write,8961.2281,0.165,131072.0,8192.0,0.0086,4.1137,3.1545,4.1179,72,3,1,32,69.9378662109375
write,9147.4855,0.1427,131072.0,8192.0,0.008,4.03,2.9729,4.034,72,4,1,32,71.39404150390625
write,13388.5246,0.0565,131072.0,8192.0,0.0069,0.9178,0.0363,0.9216,24,0,1,32,104.16474169921875
write,13266.1956,0.0568,131072.0,8192.0,0.0063,0.9263,0.0467,0.9295,24,1,1,32,103.27989208984376
write,13099.1916,0.0566,131072.0,8192.0,0.0062,0.9381,0.0441,0.9413,24,2,1,32,101.990730859375
write,13220.2094,0.0565,131072.0,8192.0,0.0059,0.9295,0.0365,0.9326,24,3,1,32,102.94212587890625
write,13126.7591,0.0558,131072.0,8192.0,0.0059,0.9361,0.0496,0.9391,24,4,1,32,102.221301953125
write,10091.7681,0.2389,131072.0,8192.0,0.0108,4.4646,3.4991,4.4708,88,0,1,32,78.7329712890625
write,10244.3534,0.136,131072.0,8192.0,0.0089,4.3981,3.2188,4.4027,88,1,1,32,79.9514640625
write,12673.1208,0.201,131072.0,8192.0,0.0083,3.5552,1.6017,3.5595,88,2,1,32,98.89048623046875
write,13020.8625,0.1937,131072.0,8192.0,0.0087,3.4603,0.9278,3.4648,88,3,1,32,101.59416171875
write,12997.9376,0.1789,131072.0,8192.0,0.0089,3.4664,1.2462,3.471,88,4,1,32,101.41292421875
write,13588.9666,0.2212,131072.0,8192.0,0.0096,3.6171,0.3454,3.6221,96,0,1,32,106.01658349609374
write,13167.1193,0.2231,131072.0,8192.0,0.0089,3.7329,0.4049,3.7374,96,1,1,32,102.74517001953124
write,10022.4481,0.2415,131072.0,8192.0,0.0082,4.9042,3.6397,4.9084,96,2,1,32,78.23337626953125
write,9292.1907,0.1577,131072.0,8192.0,0.0087,5.2896,3.8342,5.294,96,3,1,32,72.53465576171875
write,10178.4456,0.0812,131072.0,8192.0,0.0084,4.829,3.5489,4.8333,96,4,1,32,79.4484966796875
write,10121.9386,0.087,131072.0,8192.0,0.0069,2.0233,1.1205,2.0273,40,0,1,32,78.921150390625
write,10761.7061,0.087,131072.0,8192.0,0.0063,1.903,1.0096,1.9062,40,1,1,32,83.934783203125
write,11206.168,0.0958,131072.0,8192.0,0.0063,1.8276,0.9478,1.8308,40,2,1,32,87.39242802734375
write,9718.7356,0.0848,131072.0,8192.0,0.0061,2.1073,1.1994,2.1104,40,3,1,32,75.81407919921875
write,10654.3529,0.0929,131072.0,8192.0,0.0061,1.9222,1.0367,1.9253,40,4,1,32,83.10189931640625
write,9755.2145,0.0511,131072.0,8192.0,0.0065,0.8398,0.0665,0.8432,16,0,1,32,75.90079462890625
write,10301.5531,0.0488,131072.0,8192.0,0.0061,0.7952,0.0454,0.7984,16,1,1,32,80.16284169921875
write,10458.5317,0.0477,131072.0,8192.0,0.0057,0.7833,0.0445,0.7862,16,2,1,32,81.39955263671875
write,10456.5679,0.0477,131072.0,8192.0,0.0062,0.7834,0.0465,0.7867,16,3,1,32,81.35734130859375
write,10487.4243,0.0474,131072.0,8192.0,0.0061,0.7811,0.0486,0.7843,16,4,1,32,81.6036017578125
write,10800.8725,0.1358,131072.0,8192.0,0.0094,3.0338,1.2555,3.0394,64,0,1,32,84.22698212890624
write,10108.2232,0.138,131072.0,8192.0,0.0075,3.2417,1.4215,3.2454,64,1,1,32,78.8807048828125
write,10749.2172,0.1361,131072.0,8192.0,0.0068,3.0484,1.1994,3.0519,64,2,1,32,83.882554296875
write,9100.4373,0.1761,131072.0,8192.0,0.0067,3.6007,2.4154,3.6042,64,3,1,32,71.02921025390626
write,9806.3365,0.1683,131072.0,8192.0,0.0073,3.3415,2.309,3.3451,64,4,1,32,76.5301458984375
write,11823.2169,0.1032,131072.0,8192.0,0.0102,2.0786,0.5789,2.0859,48,0,1,32,92.0480580078125
write,11566.8311,0.102,131072.0,8192.0,0.0063,2.1247,0.6836,2.1279,48,1,1,32,90.22971787109375
write,12465.9388,0.1038,131072.0,8192.0,0.0061,1.9715,0.4455,1.9746,48,2,1,32,97.23355263671876
write,12176.7594,0.1036,131072.0,8192.0,0.0061,2.0183,0.4706,2.0213,48,3,1,32,94.9873841796875
write,12769.3473,0.1029,131072.0,8192.0,0.0061,1.9246,0.3667,1.9277,48,4,1,32,99.5988087890625
write,10004.4762,0.0747,131072.0,8192.0,0.0063,1.6377,0.7465,1.641,32,0,1,32,78.00131923828125
write,10670.5439,0.0739,131072.0,8192.0,0.0061,1.5354,0.6465,1.5386,32,1,1,32,83.193700390625
write,11778.1544,0.0646,131072.0,8192.0,0.0061,1.391,0.3926,1.3942,32,2,1,32,91.80786513671875
write,12173.1219,0.0841,131072.0,8192.0,0.0059,1.3459,0.2578,1.349,32,3,1,32,94.8872818359375
write,11983.1093,0.0777,131072.0,8192.0,0.006,1.3673,0.2828,1.3704,32,4,1,32,93.40550166015625
write,5118.6045,0.0485,131072.0,8192.0,0.0062,0.8002,0.0656,0.8035,8,0,1,32,39.8251154296875
write,5493.2233,0.0459,131072.0,8192.0,0.0056,0.7456,0.0416,0.7486,8,1,1,32,42.74925078125
write,5527.1963,0.0452,131072.0,8192.0,0.0058,0.7411,0.0457,0.7441,8,2,1,32,43.007571484375
write,5572.4338,0.0449,131072.0,8192.0,0.006,0.735,0.0422,0.7382,8,3,1,32,43.35050908203125
write,5643.5685,0.0443,131072.0,8192.0,0.0058,0.7258,0.038,0.7288,8,4,1,32,43.90869501953125
write,9147.2836,0.1717,131072.0,8192.0,0.0096,4.4778,2.308,4.4832,80,0,1,32,71.3775369140625
write,7853.625,0.1767,131072.0,8192.0,0.0078,5.2154,2.9982,5.2194,80,1,1,32,61.31009404296875
