access,IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter,nnodes,seg,bw(GiB/s)
write,63286.0977,0.0423,131072.0,1024.0,0.0164,5.6955,2.17,5.6988,88,3,1,32,61.7677453125
write,58361.6095,0.0457,131072.0,1024.0,0.0337,6.1761,2.3812,6.1792,88,4,1,32,56.96486181640625
write,55589.422,0.013,131072.0,1024.0,0.0065,1.7684,0.1524,1.7719,24,0,1,32,54.1800501953125
write,59801.1863,0.0125,131072.0,1024.0,0.0059,1.6438,0.0822,1.6469,24,1,1,32,58.29080576171875
write,60472.4106,0.0126,131072.0,1024.0,0.0061,1.6256,0.0543,1.6288,24,2,1,32,58.9402208984375
write,59240.6558,0.0128,131072.0,1024.0,0.006,1.6594,0.0477,1.6625,24,3,1,32,57.74373486328125
write,58786.1045,0.0128,131072.0,1024.0,0.0062,1.6722,0.0593,1.6754,24,4,1,32,57.298240234375
write,58666.6664,0.0323,131072.0,1024.0,0.0177,5.0269,3.0403,5.0303,72,0,1,32,57.25293369140625
write,70450.1151,0.027,131072.0,1024.0,0.018,4.1861,2.5471,4.1894,72,1,1,32,68.74533525390625
write,74041.1427,0.0266,131072.0,1024.0,0.0146,3.9831,2.3956,3.9863,72,2,1,32,72.247793359375
write,72995.0912,0.0266,131072.0,1024.0,0.0153,4.0402,2.4363,4.0432,72,3,1,32,71.23035947265625
write,70569.5355,0.0271,131072.0,1024.0,0.0175,4.179,2.5355,4.1823,72,4,1,32,68.86108798828126
write,37789.7485,0.0135,131072.0,1024.0,0.0062,1.7342,0.1272,1.7376,16,0,1,32,36.83315361328125
write,40679.7192,0.0126,131072.0,1024.0,0.006,1.611,0.0348,1.6141,16,1,1,32,39.6502576171875
write,40788.3069,0.0126,131072.0,1024.0,0.0061,1.6067,0.0277,1.6099,16,2,1,32,39.7547638671875
write,40805.6485,0.0125,131072.0,1024.0,0.0061,1.6061,0.0326,1.6092,16,3,1,32,39.7713384765625
write,39853.3943,0.0128,131072.0,1024.0,0.0061,1.6444,0.0253,1.6476,16,4,1,32,38.84421259765625
write,91644.5912,0.0133,131072.0,1024.0,0.0067,1.7878,0.1034,1.7914,40,0,1,32,89.31337470703124
write,95909.1702,0.0128,131072.0,1024.0,0.0062,1.7083,0.0767,1.7114,40,1,1,32,93.488741015625
write,96225.4021,0.0131,131072.0,1024.0,0.0059,1.7027,0.0586,1.7057,40,2,1,32,93.80175830078124
write,97002.4802,0.013,131072.0,1024.0,0.0061,1.689,0.0554,1.6922,40,3,1,32,94.552806640625
write,84301.1748,0.0148,131072.0,1024.0,0.0059,1.9435,0.0632,1.9465,40,4,1,32,82.19675185546875
write,63744.1108,0.0475,131072.0,1024.0,0.0465,6.1687,2.1336,6.184,96,0,1,32,62.09574033203125
write,68773.0079,0.0441,131072.0,1024.0,0.0249,5.7176,2.1173,5.721,96,1,1,32,67.12122548828125
write,71582.2943,0.0421,131072.0,1024.0,0.0343,5.4932,1.9487,5.4965,96,2,1,32,69.86250029296875
write,70711.29,0.0424,131072.0,1024.0,0.0342,5.5609,2.0064,5.5641,96,3,1,32,69.01446552734375
write,66707.1445,0.0461,131072.0,1024.0,0.0259,5.8947,2.0853,5.8979,96,4,1,32,65.10837392578125
write,40360.6843,0.0746,131072.0,2048.0,0.035,4.8713,1.6797,4.8779,96,0,1,32,78.72312626953125
write,40265.4049,0.0742,131072.0,2048.0,0.0234,4.8828,1.7378,4.886,96,1,1,32,78.591267578125
write,35688.8846,0.0717,131072.0,2048.0,0.0234,5.5089,3.0321,5.5121,96,2,1,32,69.66486796875
