access,IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter,nnodes,seg,bw(GiB/s)
write,439923.1048,0.085,131072.0,1024.0,0.0567,11.9177,4.7573,11.9375,1280,4,16,32,428.90095185546875
write,597628.8749,0.064,131072.0,2048.0,0.0671,4.3864,0.5346,4.4203,1280,0,16,32,1158.3002936523437
write,523854.8581,0.073,131072.0,2048.0,0.0554,5.0041,0.4621,5.0122,1280,1,16,32,1021.506088671875
write,481690.4698,0.0687,131072.0,2048.0,0.0539,5.4422,1.6073,5.4623,1280,2,16,32,937.3258559570312
write,464353.3602,0.0824,131072.0,2048.0,0.0388,5.6454,0.7638,5.6564,1280,3,16,32,905.1653651367187
write,500511.9679,0.0789,131072.0,2048.0,0.0533,5.2375,0.7072,5.2585,1280,4,16,32,973.6576108398438
write,405421.8012,0.0588,131072.0,2048.0,0.0398,4.5262,2.6125,4.5395,896,0,16,32,789.5071319335938
write,436998.9431,0.061,131072.0,2048.0,0.0538,4.1991,1.6764,4.2164,896,1,16,32,850.0212661132813
write,436158.2436,0.0618,131072.0,2048.0,0.0495,4.2072,1.641,4.2265,896,2,16,32,847.9919986328125
write,435327.2728,0.0617,131072.0,2048.0,0.0716,4.2152,1.6992,4.2237,896,3,16,32,848.545105078125
write,451055.8395,0.0592,131072.0,2048.0,0.0903,4.0683,1.6259,4.0961,896,4,16,32,874.9810123046875
write,369741.2999,0.0356,131072.0,2048.0,0.0105,2.836,0.8016,2.8433,512,0,16,32,720.2938848632813
write,471627.4795,0.03,131072.0,2048.0,0.0062,2.2233,0.4661,2.2266,512,1,16,32,919.8028193359376
write,516906.0469,0.0303,131072.0,2048.0,0.0062,2.0286,0.1357,2.0319,512,2,16,32,1007.9309861328124
write,484928.7771,0.0305,131072.0,2048.0,0.0063,2.1623,0.2568,2.1657,512,3,16,32,945.6495706054687
write,511995.9822,0.03,131072.0,2048.0,0.0063,2.048,0.1552,2.0513,512,4,16,32,998.3708174804688
write,240120.5827,0.0896,131072.0,2048.0,0.0392,6.5503,4.7322,6.5593,768,0,16,32,468.3425091796875
write,367836.2196,0.062,131072.0,2048.0,0.1045,4.276,1.6496,4.2795,768,1,16,32,717.8448671875
write,393515.3605,0.0568,131072.0,2048.0,0.0537,3.997,1.6329,4.017,768,2,16,32,764.7511372070312
write,406840.1562,0.0538,131072.0,2048.0,0.1203,3.866,2.0617,3.8694,768,3,16,32,793.9227561523437
write,435475.2721,0.0534,131072.0,2048.0,0.1079,3.6118,1.5361,3.6187,768,4,16,32,848.927891015625
write,271731.0491,0.0789,131072.0,2048.0,0.0569,7.7177,4.4505,7.738,1024,0,16,32,529.3354741210937
write,454368.4316,0.0679,131072.0,2048.0,0.0793,4.6155,2.2325,4.6459,1024,1,16,32,881.6284768554688
write,484613.199,0.0613,131072.0,2048.0,0.03,4.3275,2.0979,4.3311,1024,2,16,32,945.7269268554687
write,475201.4573,0.0639,131072.0,2048.0,0.0567,4.4132,2.112,4.4386,1024,3,16,32,922.823499609375
write,478432.0855,0.0635,131072.0,2048.0,0.0564,4.3834,2.1565,4.4065,1024,4,16,32,929.5365453125
write,168312.8022,0.0231,131072.0,2048.0,0.0067,1.5575,0.2183,1.5612,128,0,16,32,327.96018935546874
write,187190.6157,0.0211,131072.0,2048.0,0.0068,1.4004,0.1006,1.4039,128,1,16,32,364.70870771484374
write,194662.9159,0.0206,131072.0,2048.0,0.0061,1.3467,0.0658,1.3498,128,2,16,32,379.30671357421875
write,174545.1599,0.0228,131072.0,2048.0,0.0058,1.5019,0.1053,1.5049,128,3,16,32,340.2289537109375
write,188767.569,0.0213,131072.0,2048.0,0.0061,1.3887,0.0709,1.3919,128,4,16,32,367.85100712890625
write,471452.1327,0.1008,131072.0,2048.0,0.0956,6.6724,2.1319,6.7207,1536,0,16,32,914.1866881835938
write,419273.3655,0.1068,131072.0,2048.0,0.0916,7.5028,3.3543,7.5309,1536,1,16,32,815.8371428710938
write,337164.6165,0.1359,131072.0,2048.0,0.0843,9.3299,2.8371,9.3366,1536,2,16,32,658.0569362304688
write,192492.0622,0.2433,131072.0,2048.0,0.1384,16.3421,7.8648,16.3815,1536,3,16,32,375.05640478515625
write,163362.9381,0.2839,131072.0,2048.0,0.0783,19.2561,7.6481,19.276,1536,4,16,32,318.73908798828126
write,270579.1484,0.0264,131072.0,2048.0,0.0071,1.9377,0.4111,1.9416,256,0,16,32,527.4019375976562
write,301950.6099,0.0254,131072.0,2048.0,0.0065,1.7363,0.1856,1.7398,256,1,16,32,588.5805051757812
write,347281.8817,0.0229,131072.0,2048.0,0.006,1.5097,0.1049,1.5129,256,2,16,32,676.86003515625
write,292776.4669,0.027,131072.0,2048.0,0.0059,1.7907,0.1537,1.7938,256,3,16,32,570.83957734375
write,285655.8819,0.0277,131072.0,2048.0,0.006,1.8354,0.1255,1.8386,256,4,16,32,556.9542650390625
write,390378.8477,0.0365,131072.0,2048.0,0.0115,3.3576,1.0781,3.3656,640,0,16,32,760.638625390625
write,515597.8676,0.0354,131072.0,2048.0,0.006,2.5421,0.2866,2.5453,640,1,16,32,1005.7851459960938
write,621643.6139,0.0286,131072.0,2048.0,0.0078,2.1085,0.2798,2.1119,640,2,16,32,1212.204419140625
write,446167.4994,0.0431,131072.0,2048.0,0.0061,2.9377,0.2103,2.9409,640,3,16,32,870.4747424804688
write,466582.215,0.0416,131072.0,2048.0,0.0062,2.8092,0.1951,2.8124,640,4,16,32,910.2442134765625
write,335048.2779,0.0327,131072.0,2048.0,0.0069,2.3472,0.5761,2.3511,384,0,16,32,653.3092374023438
write,479401.0005,0.025,131072.0,2048.0,0.0062,1.6404,0.1579,1.6437,384,1,16,32,934.491934765625
write,363890.2544,0.0331,131072.0,2048.0,0.006,2.1612,0.1354,2.1644,384,2,16,32,709.6789091796875
write,466395.8036,0.0256,131072.0,2048.0,0.0062,1.6862,0.1348,1.6895,384,3,16,32,909.1544176757812
write,411660.2109,0.0285,131072.0,2048.0,0.006,1.9104,0.1742,1.9136,384,4,16,32,802.6717985351562
write,560034.6589,0.063,131072.0,2048.0,0.048,4.2128,2.2105,4.2363,1152,0,16,32,1087.749866796875
write,545666.9796,0.0627,131072.0,2048.0,0.0347,4.3237,2.3255,4.327,1152,1,16,32,1064.946020703125
write,551799.8953,0.0645,131072.0,2048.0,0.055,4.2756,2.2013,4.2924,1152,2,16,32,1073.522288671875
write,549877.0923,0.063,131072.0,2048.0,0.0612,4.2906,1.9282,4.3032,1152,3,16,32,1070.8317791015625
write,530976.5309,0.0649,131072.0,2048.0,0.0471,4.4433,1.866,4.451,1152,4,16,32,1035.2652700195313
write,437753.7192,0.0971,131072.0,2048.0,0.0794,6.5872,2.1097,6.6125,1408,0,16,32,851.7208471679687
write,477311.3613,0.0882,131072.0,2048.0,0.0968,6.0413,1.9482,6.0773,1408,1,16,32,926.7306634765625
write,408404.949,0.1021,131072.0,2048.0,0.0716,7.0606,2.5943,7.0641,1408,2,16,32,797.272506640625
write,472668.095,0.0862,131072.0,2048.0,0.0852,6.1007,2.0892,6.1109,1408,3,16,32,921.6309504882812
write,431230.6259,0.0998,131072.0,2048.0,0.106,6.6869,2.4736,6.7325,1408,4,16,32,836.542898828125
write,118330.7425,0.0942,131072.0,8192.0,0.0081,2.2153,0.8379,2.2201,512,0,16,32,922.4605928710937
write,155354.5356,0.1029,131072.0,8192.0,0.0061,1.6874,0.3124,1.6906,512,1,16,32,1211.4271866210938
write,176145.0433,0.0899,131072.0,8192.0,0.006,1.4882,0.0841,1.4914,512,2,16,32,1373.2421633789063
write,162928.2178,0.0943,131072.0,8192.0,0.007,1.609,0.1732,1.612,512,3,16,32,1270.466023828125
write,166169.3921,0.0925,131072.0,8192.0,0.0063,1.5776,0.1643,1.5809,512,4,16,32,1295.4941483398438
write,148820.3091,0.1317,131072.0,8192.0,0.0548,2.6422,0.9368,2.6649,768,0,16,32,1152.777085546875
write,152195.5836,0.1517,131072.0,8192.0,0.1191,2.5836,0.5967,2.5913,768,1,16,32,1185.5071942382813
