,access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter,fromCSV,segments,bw(GiB/s),Latency(ms),nnodes,tasks_per_node,xfer_str
155,read,92009.6236,46040.6221,0.0654,131072,2048,0.0065,4.2703,1.1086,4.2736,96,3,rw_n-2_ppn-48_tx-2M.csv,32,89.853148046875,65.4,2,48.0,2M
154,write,214294.9134,107351.1746,0.0276,131072,2048,0.0067,1.8314,0.1785,1.8349,96,2,rw_n-2_ppn-48_tx-2M.csv,32,209.2723763671875,27.599999999999998,2,48.0,2M
153,read,90981.9382,5720.511,0.066,131072,16384,0.0064,0.537,0.0204,0.5402,12,3,rw_n-2_ppn-6_tx-16M.csv,32,88.8495490234375,66.0,2,6.0,16M
152,write,66133.3115,4154.1754,0.0901,131072,16384,0.007,0.7395,0.0497,0.7432,12,0,rw_n-2_ppn-6_tx-16M.csv,32,64.58331201171875,90.1,2,6.0,16M
151,read,100728.7322,50427.9394,0.0402,131072,2048,0.0065,2.5992,0.513,2.6025,64,1,rw_n-2_ppn-32_tx-2M.csv,32,98.3679025390625,40.2,2,32.0,2M
150,write,170385.7943,85376.19,0.0231,131072,2048,0.0064,1.5352,0.0652,1.5385,64,4,rw_n-2_ppn-32_tx-2M.csv,32,166.39237724609376,23.099999999999998,2,32.0,2M
149,read,164624.0171,164992.568,0.0122,131072,1024,0.0081,1.5888,0.0504,1.5924,64,4,rw_n-2_ppn-32_tx-1M.csv,32,160.76564169921875,12.200000000000001,2,32.0,1M
148,write,149430.6918,149728.4799,0.0132,131072,1024,0.0069,1.7508,0.0571,1.7543,64,1,rw_n-2_ppn-32_tx-1M.csv,32,145.9284099609375,13.2,2,32.0,1M
147,read,83180.5506,5210.0224,0.1842,131072,16384,0.0067,1.5724,0.5563,1.5758,32,0,rw_n-2_ppn-16_tx-16M.csv,32,81.2310064453125,184.2,2,16.0,16M
146,write,148180.163,9301.1619,0.1065,131072,16384,0.0071,0.8808,0.0776,0.8845,32,0,rw_n-2_ppn-16_tx-16M.csv,32,144.7071904296875,106.5,2,16.0,16M
145,read,3581.589,229241.7729,0.0045,131072,16,0.0063,36.5928,0.2691,36.596,32,3,rw_n-2_ppn-16_tx-16K.csv,32,3.4976455078125,4.5,2,16.0,16K
144,write,3504.6442,224317.2021,0.0046,131072,16,0.0064,37.3962,0.2894,37.3995,32,3,rw_n-2_ppn-16_tx-16K.csv,32,3.4225041015625,4.6,2,16.0,16K
87,read,96391.2808,96629.4924,0.0104,131072,1024,0.0066,1.3564,0.034,1.3598,32,4,rw_n-4_ppn-8_tx-1M.csv,32,94.13211015625,10.4,4,8.0,1M
86,write,74442.8274,74589.7861,0.0134,131072,1024,0.0067,1.7572,0.0553,1.7607,32,4,rw_n-4_ppn-8_tx-1M.csv,32,72.6980736328125,13.4,4,8.0,1M
85,read,72179.0802,72349.3777,0.0106,131072,1024,0.0063,1.3587,0.0131,1.3619,24,4,rw_n-4_ppn-6_tx-1M.csv,32,70.4873830078125,10.6,4,6.0,1M
84,write,55246.799,55352.6287,0.0136,131072,1024,0.0066,1.776,0.0403,1.7794,24,3,rw_n-4_ppn-6_tx-1M.csv,32,53.9519521484375,13.6,4,6.0,1M
83,read,188788.7664,189231.1699,0.0107,131072,1024,0.0064,1.3853,0.0276,1.3886,64,3,rw_n-4_ppn-16_tx-1M.csv,32,184.3640296875,10.7,4,16.0,1M
82,write,148770.7469,149060.977,0.0133,131072,1024,0.0067,1.7586,0.079,1.7621,64,4,rw_n-4_ppn-16_tx-1M.csv,32,145.28393251953125,13.299999999999999,4,16.0,1M
81,read,79962.3264,40089.1298,0.0189,131072,2048,0.0065,1.2261,0.0335,1.2294,24,4,rw_n-4_ppn-6_tx-2M.csv,32,78.088209375,18.9,4,6.0,2M
80,write,66782.8411,33472.5539,0.0226,131072,2048,0.007,1.4684,0.0542,1.472,24,1,rw_n-4_ppn-6_tx-2M.csv,32,65.21761826171875,22.599999999999998,4,6.0,2M
96,write,132259.665,8308.3722,0.0907,131072,16384,0.0071,0.7395,0.0621,0.7433,24,0,rw_n-4_ppn-6_tx-16M.csv,32,129.1598291015625,90.7,4,6.0,16M
97,read,180641.468,11358.6963,0.066,131072,16384,0.0065,0.5409,0.0245,0.5442,24,3,rw_n-4_ppn-6_tx-16M.csv,32,176.40768359375,66.0,4,6.0,16M
98,write,403991.455,404788.1052,0.0145,131072,1024,0.0074,1.9428,0.1122,1.9467,192,3,rw_n-4_ppn-48_tx-1M.csv,32,394.5229052734375,14.5,4,48.0,1M
99,read,423716.5844,424515.9634,0.0141,131072,1024,0.007,1.8525,0.0626,1.856,192,4,rw_n-4_ppn-48_tx-1M.csv,32,413.785726953125,14.1,4,48.0,1M
100,write,22017.676,1409265.7706,0.0043,131072,16,0.0065,35.7148,0.3243,35.7182,192,3,rw_n-4_ppn-48_tx-16K.csv,32,21.50163671875,4.3,4,48.0,16K
